memory_percent,proc.memory.percent,cpu,proc.cpu.threads,disk./.usagePercent,disk./.usageGB,disk.nvme0n1p2.in,disk.nvme0n1p2.out,network.sent,network.recv,proc.memory.availableMB,proc.memory.rssMB,_timestamp,gpu.0.gpu,gpu.0.memory,gpu.0.memoryAllocated,gpu.0.memoryAllocatedBytes,gpu.0.temp,gpu.0.powerWatts,gpu.0.enforcedPowerLimitWatts,gpu.0.powerPercent,gpu.0.smClock,gpu.0.memoryClock,gpu.0.correctedMemoryErrors,gpu.0.uncorrectedMemoryErrors,gpu.0.fanSpeed,gpu.1.gpu,gpu.1.memory,gpu.1.memoryAllocated,gpu.1.memoryAllocatedBytes,gpu.1.temp,gpu.1.powerWatts,gpu.1.enforcedPowerLimitWatts,gpu.1.powerPercent,gpu.1.smClock,gpu.1.memoryClock,gpu.1.correctedMemoryErrors,gpu.1.uncorrectedMemoryErrors,gpu.1.fanSpeed
5.5182512303167,1.9660393713035371,2.9046221232006446,71,90.59163073800174,1612.82666015625,0.859375,63,3969537.0,8343224.0,486139.42578125,10115.9140625,1787146084.31292,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146099.3082666,100.0,77,86.79764152991231,41928294400,89.0,289.032,300.0,96.344,1515,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,24.414,300.0,8.138000000000002,210,405,0,0,30
5.535432326088588,1.9660393713035371,2.882209790547884,71,90.5916309522713,1612.8266639709473,0.859375,63.56640625,4010285.0,8496236.0,486051.0234375,10115.9140625,1787146099.3103561,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146114.3094575,100.0,66,86.79764152991231,41928294400,89.0,279.408,300.0,93.13600000000001,1500,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,23.084,300.0,7.6946666666666665,210,405,0,0,30
5.536794302396077,1.9660393713035371,2.86093583188052,71,90.59163588047099,1612.8267517089844,0.859375,64.61328125,4106969.0,8771693.0,486044.015625,10115.9140625,1787146114.3119583,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146129.3075006,100.0,80,86.79764152991231,41928294400,89.0,289.408,300.0,96.46933333333334,1590,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,22.87,300.0,7.623333333333333,210,405,0,0,30
5.543732486049442,1.9660393713035371,2.840983723732536,71,90.59163845170562,1612.8267974853516,0.859375,65.125,4196080.0,8945629.0,486008.31640625,10115.9140625,1787146129.3099577,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146144.3088343,100.0,70,86.79764152991231,41928294400,89.0,289.432,300.0,96.47733333333333,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,23.007,300.0,7.6690000000000005,210,405,0,0,30
5.549714856898387,1.9660393713035371,2.8219063750838784,71,90.59164380844442,1612.8268928527832,0.859375,65.859375,4283631.0,9172808.0,485977.53515625,10115.9140625,1787146144.3106341,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146159.3090246,100.0,75,86.79764152991231,41928294400,89.0,286.924,300.0,95.64133333333332,1500,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,22.912,300.0,7.637333333333333,210,405,0,0,30
5.558405237495833,1.9660393713035371,2.804002945653659,71,90.59164980799189,1612.8269996643066,0.859375,66.92578125,4467435.0,9500033.0,485932.8203125,10115.9140625,1787146159.310546,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146174.3079302,100.0,77,86.79764152991231,41928294400,89.0,287.985,300.0,95.995,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,23.083,300.0,7.694333333333332,210,405,0,0,30
5.572263384383732,1.9660393713035371,2.786773984502267,71,90.59165045080053,1612.8270111083984,0.859375,67.875,4507862.0,9636578.0,485861.515625,10115.9140625,1787146174.3086042,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146189.3086233,100.0,72,86.79764152991231,41928294400,89.0,291.278,300.0,97.09266666666667,1575,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,23.163,300.0,7.721,210,405,0,0,30
5.578623828923386,1.9660393713035371,2.7706008464799834,71,90.59165495046113,1612.827091217041,0.859375,69.8515625,4605851.0,9876131.0,485828.7890625,10115.9140625,1787146189.3100176,,,,,,,,,,,,,,,,,,,,,,,,,,
5.575599239397726,1.9660393713035371,2.75492254123783,71,90.59165602180889,1612.8271102905273,0.859375,71.19140625,4645781.0,10318723.0,485844.3515625,10115.9140625,1787146204.309782,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146204.3091402,100.0,76,86.79764152991231,41928294400,89.0,287.289,300.0,95.763,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,24.446,300.0,8.148666666666667,210,405,0,0,30
,,,,,,,,,,,,1787146219.3079083,100.0,73,86.79764152991231,41928294400,89.0,287.044,300.0,95.68133333333333,1515,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,27.264,300.0,9.088000000000001,210,405,0,0,30
5.576338684728547,1.9660393713035371,2.7401208290590335,71,90.59166116427814,1612.8272018432617,0.859375,71.7734375,4745133.0,10589217.0,485840.546875,10115.9140625,1787146219.3101957,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146234.3073528,100.0,73,86.79764152991231,41928294400,89.0,292.653,300.0,97.55100000000002,1485,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,31.22,300.0,10.406666666666666,210,405,0,0,30
5.5723233599290465,1.9660393713035371,2.7257955088880372,71,90.59166587820829,1612.8272857666016,0.859375,76.79296875,4837412.0,10838272.0,485861.20703125,10115.9140625,1787146234.3089135,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146249.3078663,57.0,38,86.79764152991231,41928294400,88.0,273.551,300.0,91.18366666666667,1800,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,24.227,300.0,8.075666666666667,210,405,0,0,30
